title,link,extra
Immortal (Hardcover),https://www.goodreads.com/book/show/211642122-immortal,"avg rating 3.87 — 8,909 ratings  — published 2025"
"Oathbound (The Legendborn Cycle, #3)",https://www.goodreads.com/book/show/214151316-oathbound,"avg rating 4.36 — 12,582 ratings  — published 2025"
"Beg, Borrow, or Steal (When in Rome, #3)",https://www.goodreads.com/book/show/211164792-beg-borrow-or-steal,"avg rating 4.07 — 73,757 ratings  — published 2025"
Not Quite Dead Yet (Hardcover),https://www.goodreads.com/book/show/220223963-not-quite-dead-yet,avg rating 4.31 — 440 ratings  — published 2025
The Listeners (Hardcover),https://www.goodreads.com/book/show/56988057-the-listeners,avg rating 3.98 — 332 ratings  — published 2025
"Fearless (The Powerless Trilogy, #3)",https://www.goodreads.com/book/show/214151222-fearless,"avg rating 4.21 — 144,705 ratings  — published 2025"
Beautiful Ugly (Hardcover),https://www.goodreads.com/book/show/211004123-beautiful-ugly,"avg rating 3.64 — 132,292 ratings  — published 2025"
"Rewind It Back (Windy City, #5)",https://www.goodreads.com/book/show/216156650-rewind-it-back,"avg rating 4.66 — 3,222 ratings  — published 2025"
Hungerstone (Hardcover),https://www.goodreads.com/book/show/212342605-hungerstone,"avg rating 4.01 — 7,433 ratings  — published 2025"
Alchemised (Hardcover),https://www.goodreads.com/book/show/222490389-alchemised,avg rating 4.68 — 475 ratings  — published 2025
"The Floating World (The Floating World, #1)",https://www.goodreads.com/book/show/215149209-the-floating-world,"avg rating 4.05 — 1,060 ratings  — published 2025"
The River Has Roots (Hardcover),https://www.goodreads.com/book/show/211004176-the-river-has-roots,"avg rating 4.17 — 6,947 ratings  — published 2025"
Don't Let Him In (Hardcover),https://www.goodreads.com/book/show/220160814-don-t-let-him-in,"avg rating 3.98 — 2,329 ratings  — published 2025"
One Golden Summer (Paperback),https://www.goodreads.com/book/show/217245639-one-golden-summer,"avg rating 4.47 — 23,178 ratings  — published 2025"
Fable for the End of the World (Hardcover),https://www.goodreads.com/book/show/209594872-fable-for-the-end-of-the-world,"avg rating 3.80 — 5,139 ratings  — published 2025"
"A Curse Carved in Bone (Saga of the Unfated, #2)",https://www.goodreads.com/book/show/216602917-a-curse-carved-in-bone,"avg rating 4.17 — 3,356 ratings  — published 2025"
Hot Wax (Hardcover),https://www.goodreads.com/book/show/224103430-hot-wax,avg rating 3.82 — 38 ratings  — published 2025
"Wild Side (Rose Hill, #3)",https://www.goodreads.com/book/show/230183874-wild-side,"avg rating 4.22 — 129,877 ratings  — published 2025"
Hemlock & Silver (Hardcover),https://www.goodreads.com/book/show/217388302-hemlock-silver,avg rating 4.27 — 260 ratings  — published 2025
The Starving Saints (Hardcover),https://www.goodreads.com/book/show/217896248-the-starving-saints,avg rating 3.98 — 557 ratings  — published 2025
"Wild and Wrangled (Rebel Blue Ranch, #4)",https://www.goodreads.com/book/show/213650748-wild-and-wrangled,"avg rating 4.04 — 43,697 ratings  — published 2025"
The Buffalo Hunter Hunter (Hardcover),https://www.goodreads.com/book/show/214565614-the-buffalo-hunter-hunter,"avg rating 4.18 — 7,641 ratings  — published 2025"
"Problematic Summer Romance (Not in Love, #2)",https://www.goodreads.com/book/show/228691356-problematic-summer-romance,avg rating 4.41 — 107 ratings  — published 2025
A Sea of Unspoken Things (Hardcover),https://www.goodreads.com/book/show/207677131-a-sea-of-unspoken-things,"avg rating 3.70 — 17,540 ratings  — published 2025"
Alchemy of Secrets (Hardcover),https://www.goodreads.com/book/show/222706197-alchemy-of-secrets,avg rating 4.72 — 53 ratings  — published 2025
The Incandescent (Hardcover),https://www.goodreads.com/book/show/217387935-the-incandescent,avg rating 4.18 — 565 ratings  — published 2025
"The Ballad of Falling Dragons (Moonfall, #2)",https://www.goodreads.com/book/show/216815055-the-ballad-of-falling-dragons,avg rating 4.39 — 119 ratings  — published 2026
Promise Me Sunshine (Paperback),https://www.goodreads.com/book/show/214269328-promise-me-sunshine,"avg rating 4.21 — 27,029 ratings  — published 2025"
"Scythe & Sparrow (The Ruinous Love Trilogy, #3)",https://www.goodreads.com/book/show/127616032-scythe-sparrow,"avg rating 4.11 — 118,102 ratings  — published 2025"
Wild Reverence (Hardcover),https://www.goodreads.com/book/show/222376906-wild-reverence,avg rating 4.66 — 279 ratings  — published 2025
Famous Last Words (Hardcover),https://www.goodreads.com/book/show/212421066-famous-last-words,"avg rating 3.74 — 52,424 ratings  — published 2025"
Bat Eater and Other Names for Cora Zeng (Hardcover),https://www.goodreads.com/book/show/218185743-bat-eater-and-other-names-for-cora-zeng,"avg rating 4.20 — 5,621 ratings  — published 2025"
The Rose Bargain (Hardcover),https://www.goodreads.com/book/show/211742041-the-rose-bargain,"avg rating 3.97 — 16,371 ratings  — published 2025"
The Bewitching (Hardcover),https://www.goodreads.com/book/show/220458657-the-bewitching,avg rating 4.34 — 375 ratings  — published 2025
"A Theory of Dreaming (A Study in Drowning, #2)",https://www.goodreads.com/book/show/221228045-a-theory-of-dreaming,avg rating 4.02 — 574 ratings  — published 2025
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection (Hardcover),https://www.goodreads.com/book/show/220341389-everything-is-tuberculosis,"avg rating 4.49 — 42,606 ratings  — published 2025"
The Dream Hotel (Hardcover),https://www.goodreads.com/book/show/218695937-the-dream-hotel,"avg rating 3.65 — 10,537 ratings  — published 2025"
"Enchantra (Wicked Games, #2)",https://www.goodreads.com/book/show/217182344-enchantra,"avg rating 4.37 — 42,741 ratings  — published 2025"
Death of the Author (Kindle Edition),https://www.goodreads.com/book/show/214329001-death-of-the-author,"avg rating 4.06 — 7,505 ratings  — published 2025"
"The Strength of the Few (Hierarchy, #2)",https://www.goodreads.com/book/show/169485073-the-strength-of-the-few,avg rating 4.70 — 136 ratings  — published 2025
It's a Love Story (Paperback),https://www.goodreads.com/book/show/218153839-it-s-a-love-story,"avg rating 4.25 — 2,926 ratings  — published 2025"
"Watch Me (Shatter Me: The New Republic, #1)",https://www.goodreads.com/book/show/216364822-watch-me,"avg rating 4.31 — 22,856 ratings  — published 2025"
"Accomplice to the Villain (Assistant to the Villain, #3)",https://www.goodreads.com/book/show/188563996-accomplice-to-the-villain,avg rating 4.48 — 552 ratings  — published 2025
The Possession of Alba Díaz (Hardcover),https://www.goodreads.com/book/show/220756054-the-possession-of-alba-d-az,avg rating 4.45 — 69 ratings  — published 2025
The Emperor of Gladness (Hardcover),https://www.goodreads.com/book/show/219848315-the-emperor-of-gladness,avg rating 4.31 — 720 ratings  — published 2025
A Treachery of Swans (Hardcover),https://www.goodreads.com/book/show/217643704-a-treachery-of-swans,avg rating 4.03 — 170 ratings  — published 2025
"A Drop of Corruption (Shadow of the Leviathan, #2)",https://www.goodreads.com/book/show/213618143-a-drop-of-corruption,"avg rating 4.56 — 10,219 ratings  — published 2025"
"Good Spirits (Ghosted, #1)",https://www.goodreads.com/book/show/222279220-good-spirits,avg rating 4.54 — 234 ratings  — published 2025
The Crash (Hardcover),https://www.goodreads.com/book/show/216223604-the-crash,"avg rating 3.72 — 351,548 ratings  — published 2025"
The Unworthy (Paperback),https://www.goodreads.com/book/show/214151601-the-unworthy,"avg rating 3.71 — 19,373 ratings  — published 2023"
The Enchanted Greenhouse (Hardcover),https://www.goodreads.com/book/show/217388100-the-enchanted-greenhouse,avg rating 4.42 — 263 ratings  — published 2025
"Brimstone (Fae & Alchemy, #2)",https://www.goodreads.com/book/show/222139748-brimstone,avg rating 4.30 — 106 ratings  — published 2025
A Language of Dragons (Hardcover),https://www.goodreads.com/book/show/211096516-a-language-of-dragons,"avg rating 3.85 — 9,120 ratings  — published 2025"
Blood on Her Tongue (Paperback),https://www.goodreads.com/book/show/213570812-blood-on-her-tongue,"avg rating 3.95 — 2,767 ratings  — published 2025"
"Love Arranged (Lakefront Billionaires, #3)",https://www.goodreads.com/book/show/214619719-love-arranged,avg rating 4.19 — 107 ratings  — published 2025
The Princess Knight (Paperback),https://www.goodreads.com/book/show/62792284-the-princess-knight,avg rating 3.82 — 180 ratings  — published 2025
Swept Away (Paperback),https://www.goodreads.com/book/show/215805795-swept-away,"avg rating 3.67 — 8,141 ratings  — published 2025"
"Breath of the Dragon (Breathmarked, #1)",https://www.goodreads.com/book/show/211003924-breath-of-the-dragon,"avg rating 3.98 — 2,207 ratings  — published 2025"
Silver Elite (Hardcover),https://www.goodreads.com/book/show/217245572-silver-elite,"avg rating 4.12 — 18,426 ratings  — published 2025"
Immaculate Conception (Hardcover),https://www.goodreads.com/book/show/217453576-immaculate-conception,avg rating 4.18 — 525 ratings  — published 2025
Wings of Starlight (Disney Fairies),https://www.goodreads.com/book/show/212808316-wings-of-starlight,"avg rating 4.24 — 16,622 ratings  — published 2025"
Left of Forever (Paperback),https://www.goodreads.com/book/show/217388096-left-of-forever,"avg rating 4.56 — 2,652 ratings  — published 2025"
A Forgery of Fate (Kindle Edition),https://www.goodreads.com/book/show/219446158-a-forgery-of-fate,avg rating 4.42 — 333 ratings  — published 2025
You Are Fatally Invited (Hardcover),https://www.goodreads.com/book/show/213243937-you-are-fatally-invited,"avg rating 3.59 — 8,751 ratings  — published 2025"
A Killing Cold (Hardcover),https://www.goodreads.com/book/show/211004079-a-killing-cold,"avg rating 3.79 — 34,506 ratings  — published 2025"
I Am Not Jessica Chen (Hardcover),https://www.goodreads.com/book/show/61374793-i-am-not-jessica-chen,"avg rating 4.06 — 9,434 ratings  — published 2025"
"Caught Up (Into Darkness, #2)",https://www.goodreads.com/book/show/217562358-caught-up,avg rating 4.26 — 329 ratings  — published 2025
The Lamb (Hardcover),https://www.goodreads.com/book/show/216867498-the-lamb,"avg rating 3.89 — 8,843 ratings  — published 2025"
"Adrift in Currents Clean and Clear (Wayward Children, #10)",https://www.goodreads.com/book/show/57185878-adrift-in-currents-clean-and-clear,"avg rating 4.04 — 6,416 ratings  — published 2025"
"Lightfall (The Everlands Trilogy, #1)",https://www.goodreads.com/book/show/211003690-lightfall,avg rating 3.56 — 935 ratings  — published 2025
When the Wolf Comes Home (Paperback),https://www.goodreads.com/book/show/211004893-when-the-wolf-comes-home,"avg rating 4.34 — 3,377 ratings  — published 2025"
All the Water in the World (Hardcover),https://www.goodreads.com/book/show/211003759-all-the-water-in-the-world,"avg rating 3.59 — 5,562 ratings  — published 2025"
"King of Envy (Kings of Sin, #5)",https://www.goodreads.com/book/show/210825471-king-of-envy,"avg rating 4.11 — 47,869 ratings  — published 2025"
"The Ragpicker King (The Chronicles of Castellane, #2)",https://www.goodreads.com/book/show/36692308-the-ragpicker-king,"avg rating 4.44 — 8,779 ratings  — published 2025"
Eat the Ones You Love (Hardcover),https://www.goodreads.com/book/show/203579211-eat-the-ones-you-love,avg rating 3.70 — 807 ratings  — published 2025
"Wild Card (Rose Hill, #4)",https://www.goodreads.com/book/show/227948548-wild-card,avg rating 4.24 — 138 ratings  — published 2025
They Bloom at Night (Hardcover),https://www.goodreads.com/book/show/211003894-they-bloom-at-night,"avg rating 3.55 — 1,730 ratings  — published 2025"
The Maiden and Her Monster (Hardcover),https://www.goodreads.com/book/show/222377141-the-maiden-and-her-monster,avg rating 3.94 — 95 ratings  — published 2025
The Isle in the Silver Sea (Hardcover),https://www.goodreads.com/book/show/219134676-the-isle-in-the-silver-sea,avg rating 4.73 — 11 ratings  — published 2025
What Happens in Amsterdam (Paperback),https://www.goodreads.com/book/show/217245608-what-happens-in-amsterdam,"avg rating 3.83 — 2,374 ratings  — published 2025"
The Sirens (Hardcover),https://www.goodreads.com/book/show/210411871-the-sirens,"avg rating 3.78 — 14,612 ratings  — published 2025"
A Land So Wide (Hardcover),https://www.goodreads.com/book/show/222419258-a-land-so-wide,avg rating 4.11 — 198 ratings  — published 2025
Julie Chan Is Dead (Kindle Edition),https://www.goodreads.com/book/show/220195725-julie-chan-is-dead,"avg rating 3.61 — 5,030 ratings  — published 2025"
"Brighter than Scale, Swifter than Flame (Hardcover)",https://www.goodreads.com/book/show/217388174-brighter-than-scale-swifter-than-flame,avg rating 3.76 — 827 ratings  — published 2025
"The Baby Dragon Café (The Baby Dragon, #1)",https://www.goodreads.com/book/show/215767834-the-baby-dragon-caf,"avg rating 3.20 — 6,402 ratings  — published 2025"
Victorian Psycho (Hardcover),https://www.goodreads.com/book/show/213395480-victorian-psycho,"avg rating 3.61 — 15,950 ratings  — published 2025"
"Arcana Academy (Arcana Academy, #1)",https://www.goodreads.com/book/show/219551319-arcana-academy,avg rating 4.37 — 698 ratings  — published 2025
"The Raven Scholar (Eternal Path Trilogy, #1)",https://www.goodreads.com/book/show/212174157-the-raven-scholar,"avg rating 4.51 — 2,414 ratings  — published 2025"
"Immortal Consequences (The Souls of Blackwood Academy, #1)",https://www.goodreads.com/book/show/203073876-immortal-consequences,avg rating 4.44 — 252 ratings  — published 2025
The Staircase in the Woods (Hardcover),https://www.goodreads.com/book/show/216971219-the-staircase-in-the-woods,"avg rating 3.72 — 3,123 ratings  — published 2025"
Boys with Sharp Teeth (Hardcover),https://www.goodreads.com/book/show/208840739-boys-with-sharp-teeth,"avg rating 3.25 — 1,113 ratings  — published 2025"
"The Fallen & the Kiss of Dusk (Crowns of Nyaxia, #4)",https://www.goodreads.com/book/show/217388041-the-fallen-the-kiss-of-dusk,avg rating 4.31 — 345 ratings  — published 2025
The Last Contract of Isako (Hardcover),https://www.goodreads.com/book/show/123161631-the-last-contract-of-isako,avg rating 5.00 — 3 ratings  — published 2025
"Brigands & Breadknives (Legends & Lattes, #2)",https://www.goodreads.com/book/show/222376572-brigands-breadknives,avg rating 4.14 — 95 ratings  — published 2025
Good Dirt (Hardcover),https://www.goodreads.com/book/show/213618132-good-dirt,"avg rating 4.05 — 26,444 ratings  — published 2025"
Kill Creatures (Kindle Edition),https://www.goodreads.com/book/show/218006857-kill-creatures,avg rating 4.04 — 178 ratings  — published 2025
The Stolen Queen (Hardcover),https://www.goodreads.com/book/show/211025454-the-stolen-queen,"avg rating 3.97 — 31,434 ratings  — published 2025"
Too Old for This (Hardcover),https://www.goodreads.com/book/show/221115923-too-old-for-this,avg rating 4.46 — 211 ratings  — published 2025
The Bright Years (Hardcover),https://www.goodreads.com/book/show/214152211-the-bright-years,"avg rating 4.32 — 5,780 ratings  — published 2025"
"We Love You, Bunny (Bunny, #2)",https://www.goodreads.com/book/show/220595449-we-love-you-bunny,avg rating 4.40 — 131 ratings  — published 2025
"Tenderly, I Am Devoured (Hardcover)",https://www.goodreads.com/book/show/214438301-tenderly-i-am-devoured,avg rating 3.99 — 374 ratings  — published 2025
The Library at Hellebore (Hardcover),https://www.goodreads.com/book/show/217388265-the-library-at-hellebore,avg rating 3.73 — 116 ratings  — published 2025
The Last Session (Hardcover),https://www.goodreads.com/book/show/214151571-the-last-session,"avg rating 3.02 — 2,146 ratings  — published 2025"
Something in the Walls (Hardcover),https://www.goodreads.com/book/show/211004350-something-in-the-walls,"avg rating 3.36 — 7,065 ratings  — published 2025"
Homeseeking (Hardcover),https://www.goodreads.com/book/show/211025407-homeseeking,"avg rating 4.24 — 10,577 ratings  — published 2025"
"The Strawberry Patch Pancake House (Dream Harbor, #4)",https://www.goodreads.com/book/show/213186396-the-strawberry-patch-pancake-house,"avg rating 3.94 — 41,994 ratings  — published 2025"
The Manor of Dreams (Hardcover),https://www.goodreads.com/book/show/214152076-the-manor-of-dreams,avg rating 3.89 — 507 ratings  — published 2025
People Watching (Kindle Edition),https://www.goodreads.com/book/show/222684223-people-watching,avg rating 4.20 — 112 ratings  — published 2025
"Shield of Sparrows (Shield of Sparrows, #1)",https://www.goodreads.com/book/show/217171544-shield-of-sparrows,"avg rating 4.52 — 24,476 ratings  — published 2025"
"The Charlie Method (Campus Diaries, #3)",https://www.goodreads.com/book/show/212688557-the-charlie-method,"avg rating 3.52 — 45,589 ratings  — published 2025"
Girl Dinner (Hardcover),https://www.goodreads.com/book/show/222376577-girl-dinner,avg rating 3.79 — 77 ratings  — published 2025
"Among the Burning Flowers (The Roots of Chaos, #0.5)",https://www.goodreads.com/book/show/222376983-among-the-burning-flowers,avg rating 4.45 — 145 ratings  — published 2025
The Man Made of Smoke (Hardcover),https://www.goodreads.com/book/show/217387838-the-man-made-of-smoke,"avg rating 3.99 — 3,100 ratings  — published 2025"
The Starlight Heir (Paperback),https://www.goodreads.com/book/show/212364043-the-starlight-heir,"avg rating 3.36 — 4,947 ratings  — published 2025"
"Vera Wong's Guide to Snooping [On a Dead Man] (Vera Wong, #2)",https://www.goodreads.com/book/show/215805924-vera-wong-s-guide-to-snooping-on-a-dead-man,"avg rating 4.26 — 13,592 ratings  — published 2025"
A Fate Forged in Fire (Hardcover),https://www.goodreads.com/book/show/218153674-a-fate-forged-in-fire,"avg rating 3.88 — 1,128 ratings  — published 2025"
Overgrowth (Hardcover),https://www.goodreads.com/book/show/217387964-overgrowth,avg rating 3.84 — 663 ratings  — published 2025
"Dream On, Ramona Riley (Clover Lake, #1)",https://www.goodreads.com/book/show/217453440-dream-on-ramona-riley,avg rating 3.99 — 737 ratings  — published 2025
"Spiral (Off the Ice, #2)",https://www.goodreads.com/book/show/199246937-spiral,"avg rating 3.84 — 23,013 ratings  — published 2025"
Cruel Is the Light (Hardcover),https://www.goodreads.com/book/show/213197161-cruel-is-the-light,"avg rating 3.59 — 2,051 ratings  — published 2025"
Greenteeth (Kindle Edition),https://www.goodreads.com/book/show/214229691-greenteeth,"avg rating 3.97 — 3,114 ratings  — published 2025"
