title,link,extra
Great Big Beautiful Life (Hardcover),https://www.goodreads.com/book/show/218559595-great-big-beautiful-life,"avg rating 4.10 — 146,282 ratings  — published 2025"
Katabasis (Kindle Edition),https://www.goodreads.com/book/show/210223811-katabasis,avg rating 4.01 — 839 ratings  — published 2025
Bury Our Bones in the Midnight Soil (Hardcover),https://www.goodreads.com/book/show/215020997-bury-our-bones-in-the-midnight-soil,"avg rating 4.43 — 1,341 ratings  — published 2025"
"Sunrise on the Reaping (The Hunger Games, #0.5)",https://www.goodreads.com/book/show/214331246-sunrise-on-the-reaping,"avg rating 4.59 — 522,236 ratings  — published 2025"
Atmosphere (Hardcover),https://www.goodreads.com/book/show/220817728-atmosphere,"avg rating 4.46 — 1,787 ratings  — published 2025"
"The Knight and the Moth (The Stonewater Kingdom, #1)",https://www.goodreads.com/book/show/205335957-the-knight-and-the-moth,"avg rating 4.61 — 1,553 ratings  — published 2025"
"Say You'll Remember Me (Say You'll Remember Me, #1)",https://www.goodreads.com/book/show/216437557-say-you-ll-remember-me,"avg rating 4.10 — 174,771 ratings  — published 2025"
"Onyx Storm (The Empyrean, #3)",https://www.goodreads.com/book/show/209439446-onyx-storm,"avg rating 4.22 — 1,163,055 ratings  — published 2025"
Deep End (Kindle Edition),https://www.goodreads.com/book/show/212808709-deep-end,"avg rating 3.94 — 239,617 ratings  — published 2025"
Water Moon (Hardcover),https://www.goodreads.com/book/show/211479192-water-moon,"avg rating 3.79 — 21,524 ratings  — published 2025"
"First-Time Caller (Heartstrings, #1)",https://www.goodreads.com/book/show/213243908-first-time-caller,"avg rating 4.05 — 103,491 ratings  — published 2025"
A Witch's Guide to Magical Innkeeping (ebook),https://www.goodreads.com/book/show/123029113-a-witch-s-guide-to-magical-innkeeping,avg rating 4.40 — 383 ratings  — published 2025
Witchcraft for Wayward Girls (Hardcover),https://www.goodreads.com/book/show/207611566-witchcraft-for-wayward-girls,"avg rating 4.00 — 52,678 ratings  — published 2025"
"Rebel Witch (The Crimson Moth, #2)",https://www.goodreads.com/book/show/60217777-rebel-witch,"avg rating 4.23 — 109,383 ratings  — published 2025"
My Friends (Hardcover),https://www.goodreads.com/book/show/217163697-my-friends,"avg rating 4.60 — 9,527 ratings  — published 2025"
Our Infinite Fates (Hardcover),https://www.goodreads.com/book/show/210395729-our-infinite-fates,"avg rating 3.75 — 27,599 ratings  — published 2025"
The Favorites (Hardcover),https://www.goodreads.com/book/show/211399784-the-favorites,"avg rating 4.15 — 92,172 ratings  — published 2025"
"Rose in Chains (The Evermore Trilogy, #1)",https://www.goodreads.com/book/show/221179254-rose-in-chains,avg rating 4.45 — 958 ratings  — published 2025
Sounds Like Love (Kindle Edition),https://www.goodreads.com/book/show/219301810-sounds-like-love,avg rating 4.28 — 345 ratings  — published 2025
"Emily Wilde's Compendium of Lost Tales (Emily Wilde, #3)",https://www.goodreads.com/book/show/208841368-emily-wilde-s-compendium-of-lost-tales,"avg rating 4.15 — 26,717 ratings  — published 2025"
This Book Will Bury Me (Hardcover),https://www.goodreads.com/book/show/213570821-this-book-will-bury-me,"avg rating 3.68 — 10,574 ratings  — published 2025"
With a Vengeance (Hardcover),https://www.goodreads.com/book/show/219603177-with-a-vengeance,avg rating 3.62 — 392 ratings  — published 2025
"Mate (Bride, #2)",https://www.goodreads.com/book/show/228256271-mate,avg rating 4.42 — 79 ratings  — published 2025
"The Irresistible Urge to Fall For Your Enemy (Dearly Beloathed, #1)",https://www.goodreads.com/book/show/209753199-the-irresistible-urge-to-fall-for-your-enemy,"avg rating 4.14 — 1,329 ratings  — published 2025"
"Out of the Woods (Out, #2)",https://www.goodreads.com/book/show/209220944-out-of-the-woods,"avg rating 3.97 — 25,694 ratings  — published 2025"
Gifted & Talented (Hardcover),https://www.goodreads.com/book/show/211004124-gifted-talented,"avg rating 3.74 — 3,432 ratings  — published 2025"
"The Devils (The Devils, #1)",https://www.goodreads.com/book/show/212276037-the-devils,"avg rating 4.39 — 1,741 ratings  — published 2025"
Wild Dark Shore (Hardcover),https://www.goodreads.com/book/show/211004089-wild-dark-shore,"avg rating 4.25 — 58,706 ratings  — published 2025"
The Love Haters (Hardcover),https://www.goodreads.com/book/show/217387810-the-love-haters,"avg rating 3.98 — 7,796 ratings  — published 2025"
