tt35934771,Neil Young: Coastal (2025),2025,1h 42m,,Neil Young's coastal solo tour as he performs rare songs in stunning theaters.,Daryl Hannah,Neil Young,Daryl Hannah
tt9254940,Sneaks (2025),2025,1h 32m,"Computer Animation,Adventure,Animation,Comedy,Family","When a designer sneaker unwittingly finds himself lost in New York City, he must dig deep into his sole in order to rescue his sister and return to his rightful owner.","Rob Edwards,Christopher Jenkins","Rob Edwards,Erica Harrell,Dylan Hartman","Anthony Mackie,Laurence Fishburne,Keith David"
tt28443655,Death of a Unicorn (2025),2025,1h 47m,"Dark Comedy,Monster Horror,Comedy,Fantasy,Horror,Thriller",Father-Daughter duo Elliott and Ridley hit a unicorn with their car and bring it to the wilderness retreat of a mega-wealthy pharmaceutical CEO.,Alex Scharfman,Alex Scharfman,"Jenna Ortega,Paul Rudd,David Pasquesi"
tt31193180,Sinners (2025),2025,2h 11m,"Supernatural Horror,Drama,Horror,Thriller","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler,Ryan Coogler,"Hailee Steinfeld,Jack O'Connell,Michael B. Jordan"
tt30955489,Until Dawn (2025),2025,1h 34m,"Psychological Drama,Psychological Horror,Supernatural Horror,Drama,Horror","A group of friends trapped in a time loop, where mysterious foes are chasing and killing them in gruesome ways, must survive until dawn to escape it.",David F. Sandberg,"Blair Butler,Gary Dauberman","Ella Rubin,Odessa A'zion,Michael Cimino"
tt33050528,Colorful Stage! The Movie: A Miku Who Can't Sing (2025),2025,1h 45m,"Anime,Animation,Music",Shibuya teen musician Ichika meets Hatsune Miku after hearing her song in a store. The pair work together to help Miku forge emotional connections through music.,Hiroyuki Hata,Yoko Yonaiyama,"Akina,Yu Asakawa,Naoto Fuga"
tt7068946,The Accountant 2 (2025),2025,2h 4m,"Whodunnit,Action,Crime,Drama,Mystery,Thriller",Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.,Gavin O'Connor,Bill Dubuque,"Ben Affleck,Jon Bernthal,Cynthia Addai-Robinson"
tt32214413,The Wedding Banquet (2025),2025,1h 42m,"Feel-Good Romance,Romantic Comedy,Comedy,Romance","A gay man makes a deal with his lesbian friend: a green-card marriage for him, in exchange for in vitro fertilization treatments for her. Plans evolve as Min's grandmother surprises them wit...",Andrew Ahn,"Andrew Ahn,James Schamus","Bowen Yang,Lily Gladstone,Kelly Marie Tran"
tt31434639,Warfare (2025),2025,1h 35m,"Docudrama,War Epic,Action,Drama,War","A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.","Alex Garland,Ray Mendoza","Ray Mendoza,Alex Garland","D'Pharaoh Woon-A-Tai,Will Poulter,Cosmo Jarvis"
tt13491834,Sacramento (2024),2024,1h 24m,Comedy,"An energetic and free-spirited young man convinces his long-time friend, who's settled into domestic life, to go on an impromptu road trip from Los Angeles to Sacramento.",Michael Angarano,"Michael Angarano,Christopher Nicholas Smith","Kristen Stewart,Michael Angarano,Michael Cera"
tt7967302,The King of Kings (2025),2025,1h 40m,"Computer Animation,Animation,Family",The story of our Lord Jesus Christ as told by Charles Dickens and seen through the innocent eyes of a child.,Seong-ho Jang,"Seong-ho Jang,Rob Edwards,Jamie Thomason","Pierce Brosnan,Oscar Isaac,Uma Thurman"
tt32149847,Drop (2025),2025,1h 40m,"Whodunnit,Drama,Mystery,Thriller","A widowed mother's first date in years takes a terrifying turn when she's bombarded with anonymous threatening messages on her phone during their upscale dinner, leaving her questioning if h...",Christopher Landon,"Jillian Jacobs,Chris Roach","Meghann Fahy,Brandon Sklenar,Violett Beane"
tt33029955,One to One: John & Yoko (2024),2024,1h 40m,"Biography,Documentary","Set in 1972 New York, this documentary explores John and Yoko's world amid a turbulent era. Centered on the One to One charity concert for special needs children, it features unseen archives...","Kevin Macdonald,Sam Rice-Edwards","John Lennon,Yoko Ono,The Plastic Ono Elephants Memory Band","Kevin Macdonald,Sam Rice-Edwards"
tt27674982,The Ballad of Wallis Island (2025),2025,1h 40m,"Quirky Comedy,Comedy,Drama,Music","THE BALLAD OF WALLIS ISLAND follows Charles (Tim Key), an eccentric lottery winner who lives alone on a remote island and dreams of getting his favorite musicians, McGwyer Mortimer (Tom Basd...",James Griffiths,"Tom Basden,Tim Key","Tom Basden,Tim Key,Sian Clifford"
tt0899043,The Amateur (2025),2025,2h 3m,"Spy,Action,Thriller",A CIA cryptographer manages to blackmail his agency into training him to let him go after a group of terrorists who killed his wife.,James Hawes,"Robert Littell,Ken Nolan,Gary Spinelli","Jon Bernthal,Julianne Nicholson,Rami Malek"
tt34888646,I Can Only Imagine Sequel (2026),2026,,Drama,"Bart Millard, lead singer of MercyMe, faces a personal crisis at the peak of his success. As his world unravels, he struggles with his beliefs and inner demons while seeking a path through a...","Andrew Erwin,Brent Mccorkle",Brent Mccorkle,"Dennis Quaid,Arielle Kebbel,Milo Ventimiglia"
