page,title,is_free,url,skills
1,Data Engineering on AWS - Foundations,True,https://www.coursera.org/learn/data-engineering-on-aws-foundations,"Infrastructure as Code (IaC),Serverless Computing,CI/CD,Data Infrastructure,Amazon Web Services,Data Architecture,AWS Identity and Access Management (IAM),AWS CloudFormation,Data Warehousing,Security Controls,Amazon CloudWatch,Terraform,Requirements Analysis"
1,Introduction to Modern Data Engineering with Snowflake,True,https://www.coursera.org/learn/data-engineering-snowflake,"Data Pipelines,Data Transformation,Extract, Transform, Load,Data Presentation,Data Integration,Data Warehousing,Data Processing,Data Import/Export,Stored Procedure,Data Sharing,SQL,Automation,Command-Line Interface"
2,Introduction to Networking,True,https://www.coursera.org/learn/introduction-to-networking-nvidia,"OSI Models,TCP/IP,Data Centers,Network Protocols,Network Infrastructure,Local Area Networks,General Networking,Network Architecture,Computer Networking,Network Planning And Design,Network Switches,System Requirements"
2,From Excel to Power BI,True,https://www.coursera.org/learn/from-excel-to-power-bi,"Power BI,Dashboard,Data Presentation,Data Visualization Software,Interactive Data Visualization,Data Import/Export,Business Intelligence,Microsoft Excel,Data Analysis,Data-Driven Decision-Making,Data Modeling"
2,"Data Engineering: Pipelines, ETL, Hadoop",True,https://www.coursera.org/learn/data-engineering-pipelines-etl-hadoop,"Data Pipelines,Apache Hadoop,Extract, Transform, Load,Data Transformation,Apache Hive,Data-Driven Decision-Making,Big Data,Data Warehousing,Data Infrastructure,Data Lakes,Data Architecture,Apache Spark,Data Integration,Data Processing,SQL Server Integration Services (SSIS),Data Management"
3,Competencias digitales de ofimática: Microsoft Excel,True,https://www.coursera.org/learn/competencias-digitales-ofimatica-excel,"Excel Formulas,Microsoft Excel,Data Visualization,Workforce Development,Spreadsheet Software,Productivity Software,Digital Transformation,Data Entry,Data Management"
3,Fundamental Skills in Engineering Design,True,https://www.coursera.org/learn/fundamental-skills-in-engineering-design,"Engineering Design Process,Engineering Management,Product Lifecycle Management,Product Development,Design,New Product Development,Product Requirements,Conceptual Design,Teamwork"
3,Applications in Engineering Mechanics,True,https://www.coursera.org/learn/engineering-mechanics-statics-2,"Structural Analysis,Structural Engineering,Engineering Analysis,Mechanical Engineering,Mechanics,Engineering,Civil Engineering"
3,Foundations of Data Science: K-Means Clustering in Python,True,https://www.coursera.org/learn/data-science-k-means-clustering-python,"Matplotlib,Probability & Statistics,Data Visualization Software,Scatter Plots,Data Science,Unsupervised Learning,Statistics,NumPy,Python Programming,Pandas (Python Package),Machine Learning Algorithms,Data Analysis,Machine Learning,Data Manipulation"
4,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",True,https://www.coursera.org/learn/competencias-digitales-ofimatica,"Spreadsheet Software,Data Entry,Document Management,Information Technology,Digital Transformation,Data Analysis Software,File Management"
